step,liquidity,volatility,apy,reward,action
0,0.5009999871253967,0.14731498062610626,0.052000001072883606,0.41694250898477375,4
1,0.503000020980835,0.12255658209323883,0.05400000140070915,0.4309217090905484,4
2,0.5059999823570251,0.07365088909864426,0.0560000017285347,0.4579745543857242,4
3,0.5099999904632568,0.019914286211133003,0.057999998331069946,0.4884428566664785,4
4,0.5149999856948853,0.0,0.05999999865889549,0.503,4
5,0.5210000276565552,0.0,0.06199999898672104,0.5086,4
6,0.527999997138977,0.0,0.06400000303983688,0.5152,4
7,0.5360000133514404,0.0,0.06599999964237213,0.5228,4
8,0.5450000166893005,0.0,0.06800000369548798,0.5314,4
9,0.5550000071525574,0.0,0.07000000029802322,0.541,4
10,0.5659999847412109,0.0,0.07199999690055847,0.5516000000000001,4
11,0.578000009059906,0.0,0.07400000095367432,0.5632,4
12,0.5910000205039978,0.0,0.07599999755620956,0.5758000000000001,4
13,0.6050000190734863,0.0,0.07800000160932541,0.5894,4
14,0.6200000047683716,0.0,0.07999999821186066,0.6040000000000001,4
15,0.6359999775886536,0.0,0.0820000022649765,0.6196000000000002,4
16,0.652999997138977,0.0,0.08399999886751175,0.6362000000000001,4
17,0.6710000038146973,0.0,0.0860000029206276,0.6538000000000002,4
18,0.6899999976158142,0.0,0.08799999952316284,0.6724000000000001,4
19,0.7099999785423279,0.0,0.09000000357627869,0.6920000000000002,4
20,0.7310000061988831,0.0,0.09200000017881393,0.7126000000000002,4
21,0.753000020980835,0.0,0.09399999678134918,0.7342000000000002,4
22,0.7760000228881836,0.0,0.09600000083446503,0.7568000000000003,4
23,0.800000011920929,0.0,0.09799999743700027,0.7804000000000002,4
24,0.824999988079071,0.0,0.10000000149011612,0.8050000000000003,4
25,0.8510000109672546,0.0,0.10199999809265137,0.8306000000000003,4
26,0.878000020980835,0.0,0.10400000214576721,0.8572000000000003,4
27,0.906000018119812,0.0,0.10599999874830246,0.8848000000000004,4
28,0.9350000023841858,0.0,0.1080000028014183,0.9134000000000003,4
29,0.9649999737739563,0.0,0.10999999940395355,0.9430000000000004,4
30,0.9959999918937683,0.0,0.1120000034570694,0.9736000000000005,4
31,1.0,0.0,0.11400000005960464,0.9772,4
32,1.0,0.0,0.11599999666213989,0.9768,4
33,1.0,0.0,0.11800000071525574,0.9763999999999999,4
34,1.0,0.0,0.11999999731779099,0.976,4
35,1.0,0.0,0.12200000137090683,0.9756,4
36,1.0,0.0,0.12399999797344208,0.9752,4
37,1.0,0.0,0.12600000202655792,0.9748,4
38,1.0,0.0,0.12800000607967377,0.9743999999999999,4
39,1.0,0.0,0.12999999523162842,0.974,4
40,1.0,0.0,0.13199999928474426,0.9736,4
41,1.0,0.0,0.1340000033378601,0.9732,4
42,1.0,0.0,0.13600000739097595,0.9728,4
43,1.0,0.0,0.1379999965429306,0.9723999999999999,4
44,1.0,0.0,0.14000000059604645,0.972,4
45,1.0,0.0,0.1420000046491623,0.9716,4
46,1.0,0.0,0.14399999380111694,0.9712,4
47,1.0,0.0,0.1459999978542328,0.9708,4
48,1.0,0.0,0.14800000190734863,0.9703999999999999,4
49,1.0,0.0,0.15000000596046448,0.97,4
50,1.0,0.0,0.15199999511241913,0.9696,4
51,1.0,0.0,0.15399999916553497,0.9692,4
52,1.0,0.0,0.15600000321865082,0.9688,4
53,1.0,0.0,0.15800000727176666,0.9683999999999999,4
54,1.0,0.0,0.1599999964237213,0.968,4
55,1.0,0.0,0.16200000047683716,0.9676,4
56,1.0,0.0,0.164000004529953,0.9672,4
57,1.0,0.0,0.16599999368190765,0.9668,4
58,1.0,0.0,0.1679999977350235,0.9663999999999999,4
59,1.0,0.0,0.17000000178813934,0.966,4
60,1.0,0.0,0.1720000058412552,0.9656,4
61,1.0,0.0,0.17399999499320984,0.9652,4
62,1.0,0.0,0.17599999904632568,0.9648,4
63,1.0,0.0,0.17800000309944153,0.9643999999999999,4
64,1.0,0.0,0.18000000715255737,0.964,4
65,1.0,0.0,0.18199999630451202,0.9636,4
66,1.0,0.0,0.18400000035762787,0.9632,4
67,1.0,0.0,0.1860000044107437,0.9628,4
68,1.0,0.0,0.18799999356269836,0.9623999999999999,4
69,1.0,0.0,0.1899999976158142,0.962,4
70,1.0,0.0,0.19200000166893005,0.9616,4
71,1.0,0.0,0.1940000057220459,0.9611999999999999,4
72,1.0,0.0,0.19599999487400055,0.9608,4
73,1.0,0.0,0.1979999989271164,0.9603999999999999,4
74,1.0,0.0,0.20000000298023224,0.96,4
75,1.0,0.0,0.20200000703334808,0.9596,4
76,1.0,0.0,0.20399999618530273,0.9591999999999999,4
77,1.0,0.0,0.20600000023841858,0.9588,4
78,1.0,0.0,0.20800000429153442,0.9583999999999999,4
79,1.0,0.0,0.20999999344348907,0.958,4
80,1.0,0.0,0.21199999749660492,0.9576,4
81,1.0,0.0,0.21400000154972076,0.9571999999999999,4
82,1.0,0.0,0.2160000056028366,0.9568,4
83,1.0,0.0,0.21799999475479126,0.9563999999999999,4
84,1.0,0.0,0.2199999988079071,0.956,4
85,1.0,0.0,0.22200000286102295,0.9556,4
86,1.0,0.0,0.2240000069141388,0.9551999999999999,4
87,1.0,0.0,0.22599999606609344,0.9548,4
88,1.0,0.0,0.2280000001192093,0.9543999999999999,4
89,1.0,0.0,0.23000000417232513,0.954,4
90,1.0,0.0,0.23199999332427979,0.9536,4
91,1.0,0.0,0.23399999737739563,0.9531999999999999,4
92,1.0,0.0,0.23600000143051147,0.9528,4
93,1.0,0.0,0.23800000548362732,0.9523999999999999,4
94,1.0,0.0,0.23999999463558197,0.952,4
95,1.0,0.0,0.24199999868869781,0.9516,4
96,1.0,0.0,0.24400000274181366,0.9511999999999999,4
97,1.0,0.0,0.2460000067949295,0.9508,4
98,1.0,0.0,0.24799999594688416,0.9503999999999999,4
99,1.0,0.0,0.25,0.95,4
100,1.0,0.0,0.25,0.95,4
101,1.0,0.0,0.25,0.95,4
102,1.0,0.0,0.25,0.95,4
103,1.0,0.0,0.25,0.95,4
104,1.0,0.0,0.25,0.95,4
105,1.0,0.0,0.25,0.95,4
106,1.0,0.0,0.25,0.95,4
107,1.0,0.0,0.25,0.95,4
108,1.0,0.0,0.25,0.95,4
109,1.0,0.0,0.25,0.95,4
110,1.0,0.0,0.25,0.95,4
111,1.0,0.0,0.25,0.95,4
112,1.0,0.0,0.25,0.95,4
113,1.0,0.0,0.25,0.95,4
114,1.0,0.0,0.25,0.95,4
115,1.0,0.0,0.25,0.95,4
116,1.0,0.0,0.25,0.95,4
117,1.0,0.0,0.25,0.95,4
118,1.0,0.0,0.25,0.95,4
119,1.0,0.0,0.25,0.95,4
120,1.0,0.0,0.25,0.95,4
121,1.0,0.0,0.25,0.95,4
122,1.0,0.0,0.25,0.95,4
123,1.0,0.0,0.25,0.95,4
124,1.0,0.0,0.25,0.95,4
125,1.0,0.0,0.25,0.95,4
126,1.0,0.0,0.25,0.95,4
127,1.0,0.0,0.25,0.95,4
128,1.0,0.0,0.25,0.95,4
129,1.0,0.0,0.25,0.95,4
130,1.0,0.0,0.25,0.95,4
131,1.0,0.0,0.25,0.95,4
132,1.0,0.0,0.25,0.95,4
133,1.0,0.0,0.25,0.95,4
134,1.0,0.0,0.25,0.95,4
135,1.0,0.0,0.25,0.95,4
136,1.0,0.0,0.25,0.95,4
137,1.0,0.0,0.25,0.95,4
138,1.0,0.0,0.25,0.95,4
139,1.0,0.0,0.25,0.95,4
140,1.0,0.0,0.25,0.95,4
141,1.0,0.0,0.25,0.95,4
142,1.0,0.0,0.25,0.95,4
143,1.0,0.0,0.25,0.95,4
144,1.0,0.0,0.25,0.95,4
145,1.0,0.0,0.25,0.95,4
146,1.0,0.0,0.25,0.95,4
147,1.0,0.0,0.25,0.95,4
148,1.0,0.0,0.25,0.95,4
149,1.0,0.0,0.25,0.95,4
150,1.0,0.0,0.25,0.95,4
151,1.0,0.0,0.25,0.95,4
152,1.0,0.0,0.25,0.95,4
153,1.0,0.0,0.25,0.95,4
154,1.0,0.0,0.25,0.95,4
155,1.0,0.0,0.25,0.95,4
156,1.0,0.0,0.25,0.95,4
157,1.0,0.0,0.25,0.95,4
158,1.0,0.0,0.25,0.95,4
159,1.0,0.0,0.25,0.95,4
160,1.0,0.0,0.25,0.95,4
161,1.0,0.0,0.25,0.95,4
162,1.0,0.0,0.25,0.95,4
163,1.0,0.0,0.25,0.95,4
164,1.0,0.0,0.25,0.95,4
165,1.0,0.0,0.25,0.95,4
166,1.0,0.0,0.25,0.95,4
167,1.0,0.0,0.25,0.95,4
168,1.0,0.0,0.25,0.95,4
169,1.0,0.0,0.25,0.95,4
170,1.0,0.0,0.25,0.95,4
171,1.0,0.0,0.25,0.95,4
172,1.0,0.0,0.25,0.95,4
173,1.0,0.0,0.25,0.95,4
174,1.0,0.0,0.25,0.95,4
175,1.0,0.0,0.25,0.95,4
176,1.0,0.0,0.25,0.95,4
177,1.0,0.0,0.25,0.95,4
178,1.0,0.0,0.25,0.95,4
179,1.0,0.0,0.25,0.95,4
180,1.0,0.0,0.25,0.95,4
181,1.0,0.0,0.25,0.95,4
182,1.0,0.0,0.25,0.95,4
183,1.0,0.0,0.25,0.95,4
184,1.0,0.0,0.25,0.95,4
185,1.0,0.0,0.25,0.95,4
186,1.0,0.0,0.25,0.95,4
187,1.0,0.0,0.25,0.95,4
188,1.0,0.0,0.25,0.95,4
189,1.0,0.0,0.25,0.95,4
190,1.0,0.0,0.25,0.95,4
191,1.0,0.0,0.25,0.95,4
192,1.0,0.0,0.25,0.95,4
193,1.0,0.0,0.25,0.95,4
194,1.0,0.0,0.25,0.95,4
195,1.0,0.0,0.25,0.95,4
196,1.0,0.0,0.25,0.95,4
197,1.0,0.0,0.25,0.95,4
198,1.0,0.0,0.25,0.95,4
199,1.0,0.0,0.25,0.95,4
200,1.0,0.0,0.25,0.95,4
201,1.0,0.0,0.25,0.95,4
202,1.0,0.0,0.25,0.95,4
203,1.0,0.0,0.25,0.95,4
204,1.0,0.0,0.25,0.95,4
205,1.0,0.0,0.25,0.95,4
206,1.0,0.0,0.25,0.95,4
207,1.0,0.0,0.25,0.95,4
208,1.0,0.0,0.25,0.95,4
209,1.0,0.0,0.25,0.95,4
210,1.0,0.0,0.25,0.95,4
211,1.0,0.0,0.25,0.95,4
212,1.0,0.0,0.25,0.95,4
213,1.0,0.0,0.25,0.95,4
214,1.0,0.0,0.25,0.95,4
215,1.0,0.0,0.25,0.95,4
216,1.0,0.0,0.25,0.95,4
217,1.0,0.0,0.25,0.95,4
218,1.0,0.0,0.25,0.95,4
219,1.0,0.0,0.25,0.95,4
220,1.0,0.0,0.25,0.95,4
221,1.0,0.0,0.25,0.95,4
222,1.0,0.0,0.25,0.95,4
223,1.0,0.0,0.25,0.95,4
224,1.0,0.0,0.25,0.95,4
225,1.0,0.0,0.25,0.95,4
226,1.0,0.0,0.25,0.95,4
227,1.0,0.0,0.25,0.95,4
228,1.0,0.0,0.25,0.95,4
229,1.0,0.0,0.25,0.95,4
230,1.0,0.0,0.25,0.95,4
231,1.0,0.0,0.25,0.95,4
232,1.0,0.0,0.25,0.95,4
233,1.0,0.0,0.25,0.95,4
234,1.0,0.0,0.25,0.95,4
235,1.0,0.0,0.25,0.95,4
236,1.0,0.0,0.25,0.95,4
237,1.0,0.0,0.25,0.95,4
238,1.0,0.0,0.25,0.95,4
239,1.0,0.0,0.25,0.95,4
240,1.0,0.0,0.25,0.95,4
241,1.0,0.0,0.25,0.95,4
242,1.0,0.0,0.25,0.95,4
243,1.0,0.0,0.25,0.95,4
244,1.0,0.0,0.25,0.95,4
245,1.0,0.0,0.25,0.95,4
246,1.0,0.0,0.25,0.95,4
247,1.0,0.0,0.25,0.95,4
248,1.0,0.0,0.25,0.95,4
249,1.0,0.0,0.25,0.95,4
250,1.0,0.0,0.25,0.95,4
251,1.0,0.0,0.25,0.95,4
252,1.0,0.0,0.25,0.95,4
253,1.0,0.0,0.25,0.95,4
254,1.0,0.0,0.25,0.95,4
255,1.0,0.0,0.25,0.95,4
256,1.0,0.0,0.25,0.95,4
257,1.0,0.0,0.25,0.95,4
258,1.0,0.0,0.25,0.95,4
259,1.0,0.0,0.25,0.95,4
260,1.0,0.0,0.25,0.95,4
261,1.0,0.0,0.25,0.95,4
262,1.0,0.0,0.25,0.95,4
263,1.0,0.0,0.25,0.95,4
264,1.0,0.0,0.25,0.95,4
265,1.0,0.0,0.25,0.95,4
266,1.0,0.0,0.25,0.95,4
267,1.0,0.0,0.25,0.95,4
268,1.0,0.0,0.25,0.95,4
269,1.0,0.0,0.25,0.95,4
270,1.0,0.0,0.25,0.95,4
271,1.0,0.0,0.25,0.95,4
272,1.0,0.0,0.25,0.95,4
273,1.0,0.0,0.25,0.95,4
274,1.0,0.0,0.25,0.95,4
275,1.0,0.0,0.25,0.95,4
276,1.0,0.0,0.25,0.95,4
277,1.0,0.0,0.25,0.95,4
278,1.0,0.0,0.25,0.95,4
279,1.0,0.0,0.25,0.95,4
280,1.0,0.0,0.25,0.95,4
281,1.0,0.0,0.25,0.95,4
282,1.0,0.0,0.25,0.95,4
283,1.0,0.0,0.25,0.95,4
284,1.0,0.0,0.25,0.95,4
285,1.0,0.0,0.25,0.95,4
286,1.0,0.0,0.25,0.95,4
287,1.0,0.0,0.25,0.95,4
288,1.0,0.0,0.25,0.95,4
289,1.0,0.0,0.25,0.95,4
290,1.0,0.0,0.25,0.95,4
291,1.0,0.0,0.25,0.95,4
292,1.0,0.0,0.25,0.95,4
293,1.0,0.0,0.25,0.95,4
294,1.0,0.0,0.25,0.95,4
295,1.0,0.0,0.25,0.95,4
296,1.0,0.0,0.25,0.95,4
297,1.0,0.0,0.25,0.95,4
298,1.0,0.0,0.25,0.95,4
299,1.0,0.0,0.25,0.95,4
300,1.0,0.0,0.25,0.95,4
301,1.0,0.0,0.25,0.95,4
302,1.0,0.0,0.25,0.95,4
303,1.0,0.0,0.25,0.95,4
304,1.0,0.0,0.25,0.95,4
305,1.0,0.0,0.25,0.95,4
306,1.0,0.0,0.25,0.95,4
307,1.0,0.0,0.25,0.95,4
308,1.0,0.0,0.25,0.95,4
309,1.0,0.0,0.25,0.95,4
310,1.0,0.0,0.25,0.95,4
311,1.0,0.0,0.25,0.95,4
312,1.0,0.0,0.25,0.95,4
313,1.0,0.0,0.25,0.95,4
314,1.0,0.0,0.25,0.95,4
315,1.0,0.0,0.25,0.95,4
316,1.0,0.0,0.25,0.95,4
317,1.0,0.0,0.25,0.95,4
318,1.0,0.0,0.25,0.95,4
319,1.0,0.0,0.25,0.95,4
320,1.0,0.0,0.25,0.95,4
321,1.0,0.0,0.25,0.95,4
322,1.0,0.0,0.25,0.95,4
323,1.0,0.0,0.25,0.95,4
324,1.0,0.0,0.25,0.95,4
325,1.0,0.0,0.25,0.95,4
326,1.0,0.0,0.25,0.95,4
327,1.0,0.0,0.25,0.95,4
328,1.0,0.0,0.25,0.95,4
329,1.0,0.0,0.25,0.95,4
330,1.0,0.0,0.25,0.95,4
331,1.0,0.0,0.25,0.95,4
332,1.0,0.0,0.25,0.95,4
333,1.0,0.0,0.25,0.95,4
334,1.0,0.0,0.25,0.95,4
335,1.0,0.0,0.25,0.95,4
336,1.0,0.0,0.25,0.95,4
337,1.0,0.0,0.25,0.95,4
338,1.0,0.0,0.25,0.95,4
339,1.0,0.0,0.25,0.95,4
340,1.0,0.0,0.25,0.95,4
341,1.0,0.0,0.25,0.95,4
342,1.0,0.0,0.25,0.95,4
343,1.0,0.0,0.25,0.95,4
344,1.0,0.0,0.25,0.95,4
345,1.0,0.0,0.25,0.95,4
346,1.0,0.0,0.25,0.95,4
347,1.0,0.0,0.25,0.95,4
348,1.0,0.0,0.25,0.95,4
349,1.0,0.0,0.25,0.95,4
350,1.0,0.0,0.25,0.95,4
351,1.0,0.0,0.25,0.95,4
352,1.0,0.0,0.25,0.95,4
353,1.0,0.0,0.25,0.95,4
354,1.0,0.0,0.25,0.95,4
355,1.0,0.0,0.25,0.95,4
356,1.0,0.0,0.25,0.95,4
357,1.0,0.0,0.25,0.95,4
358,1.0,0.0,0.25,0.95,4
359,1.0,0.0,0.25,0.95,4
360,1.0,0.0,0.25,0.95,4
361,1.0,0.0,0.25,0.95,4
362,1.0,0.0,0.25,0.95,4
363,1.0,0.0,0.25,0.95,4
364,1.0,0.0,0.25,0.95,4
365,1.0,0.0,0.25,0.95,4
366,1.0,0.0,0.25,0.95,4
367,1.0,0.0,0.25,0.95,4
368,1.0,0.0,0.25,0.95,4
369,1.0,0.0,0.25,0.95,4
370,1.0,0.0,0.25,0.95,4
371,1.0,0.0,0.25,0.95,4
372,1.0,0.0,0.25,0.95,4
373,1.0,0.0,0.25,0.95,4
374,1.0,0.0,0.25,0.95,4
375,1.0,0.0,0.25,0.95,4
376,1.0,0.0,0.25,0.95,4
377,1.0,0.0,0.25,0.95,4
378,1.0,0.0,0.25,0.95,4
379,1.0,0.0,0.25,0.95,4
380,1.0,0.0,0.25,0.95,4
381,1.0,0.0,0.25,0.95,4
382,1.0,0.0,0.25,0.95,4
383,1.0,0.0,0.25,0.95,4
384,1.0,0.0,0.25,0.95,4
385,1.0,0.0,0.25,0.95,4
386,1.0,0.0,0.25,0.95,4
387,1.0,0.0,0.25,0.95,4
388,1.0,0.0,0.25,0.95,4
389,1.0,0.0,0.25,0.95,4
390,1.0,0.0,0.25,0.95,4
391,1.0,0.0,0.25,0.95,4
392,1.0,0.0,0.25,0.95,4
393,1.0,0.0,0.25,0.95,4
394,1.0,0.0,0.25,0.95,4
395,1.0,0.0,0.25,0.95,4
396,1.0,0.0,0.25,0.95,4
397,1.0,0.0,0.25,0.95,4
398,1.0,0.0,0.25,0.95,4
399,1.0,0.0,0.25,0.95,4
400,1.0,0.0,0.25,0.95,4
401,1.0,0.0,0.25,0.95,4
402,1.0,0.0,0.25,0.95,4
403,1.0,0.0,0.25,0.95,4
404,1.0,0.0,0.25,0.95,4
405,1.0,0.0,0.25,0.95,4
406,1.0,0.0,0.25,0.95,4
407,1.0,0.0,0.25,0.95,4
408,1.0,0.0,0.25,0.95,4
409,1.0,0.0,0.25,0.95,4
410,1.0,0.0,0.25,0.95,4
411,1.0,0.0,0.25,0.95,4
412,1.0,0.0,0.25,0.95,4
413,1.0,0.0,0.25,0.95,4
414,1.0,0.0,0.25,0.95,4
415,1.0,0.0,0.25,0.95,4
416,1.0,0.0,0.25,0.95,4
417,1.0,0.0,0.25,0.95,4
418,1.0,0.0,0.25,0.95,4
419,1.0,0.0,0.25,0.95,4
420,1.0,0.0,0.25,0.95,4
421,1.0,0.0,0.25,0.95,4
422,1.0,0.0,0.25,0.95,4
423,1.0,0.0,0.25,0.95,4
424,1.0,0.0,0.25,0.95,4
425,1.0,0.0,0.25,0.95,4
426,1.0,0.0,0.25,0.95,4
427,1.0,0.0,0.25,0.95,4
428,1.0,0.0,0.25,0.95,4
429,1.0,0.0,0.25,0.95,4
430,1.0,0.0,0.25,0.95,4
431,1.0,0.0,0.25,0.95,4
432,1.0,0.0,0.25,0.95,4
433,1.0,0.0,0.25,0.95,4
434,1.0,0.0,0.25,0.95,4
435,1.0,0.0,0.25,0.95,4
436,1.0,0.0,0.25,0.95,4
437,1.0,0.0,0.25,0.95,4
438,1.0,0.0,0.25,0.95,4
439,1.0,0.0,0.25,0.95,4
440,1.0,0.0,0.25,0.95,4
441,1.0,0.0,0.25,0.95,4
442,1.0,0.0,0.25,0.95,4
443,1.0,0.0,0.25,0.95,4
444,1.0,0.0,0.25,0.95,4
445,1.0,0.0,0.25,0.95,4
446,1.0,0.0,0.25,0.95,4
447,1.0,0.0,0.25,0.95,4
448,1.0,0.0,0.25,0.95,4
449,1.0,0.0,0.25,0.95,4
450,1.0,0.0,0.25,0.95,4
451,1.0,0.0,0.25,0.95,4
452,1.0,0.0,0.25,0.95,4
453,1.0,0.0,0.25,0.95,4
454,1.0,0.0,0.25,0.95,4
455,1.0,0.0,0.25,0.95,4
456,1.0,0.0,0.25,0.95,4
457,1.0,0.0,0.25,0.95,4
458,1.0,0.0,0.25,0.95,4
459,1.0,0.0,0.25,0.95,4
460,1.0,0.0,0.25,0.95,4
461,1.0,0.0,0.25,0.95,4
462,1.0,0.0,0.25,0.95,4
463,1.0,0.0,0.25,0.95,4
464,1.0,0.0,0.25,0.95,4
465,1.0,0.0,0.25,0.95,4
466,1.0,0.0,0.25,0.95,4
467,1.0,0.0,0.25,0.95,4
468,1.0,0.0,0.25,0.95,4
469,1.0,0.0,0.25,0.95,4
470,1.0,0.0,0.25,0.95,4
471,1.0,0.0,0.25,0.95,4
472,1.0,0.0,0.25,0.95,4
473,1.0,0.0,0.25,0.95,4
474,1.0,0.0,0.25,0.95,4
475,1.0,0.0,0.25,0.95,4
476,1.0,0.0,0.25,0.95,4
477,1.0,0.0,0.25,0.95,4
478,1.0,0.0,0.25,0.95,4
479,1.0,0.0,0.25,0.95,4
480,1.0,0.0,0.25,0.95,4
481,1.0,0.0,0.25,0.95,4
482,1.0,0.0,0.25,0.95,4
483,1.0,0.0,0.25,0.95,4
484,1.0,0.0,0.25,0.95,4
485,1.0,0.0,0.25,0.95,4
486,1.0,0.0,0.25,0.95,4
487,1.0,0.0,0.25,0.95,4
488,1.0,0.0,0.25,0.95,4
489,1.0,0.0,0.25,0.95,4
490,1.0,0.0,0.25,0.95,4
491,1.0,0.0,0.25,0.95,4
492,1.0,0.0,0.25,0.95,4
493,1.0,0.0,0.25,0.95,4
494,1.0,0.0,0.25,0.95,4
495,1.0,0.0,0.25,0.95,4
496,1.0,0.0,0.25,0.95,4
497,1.0,0.0,0.25,0.95,4
498,1.0,0.0,0.25,0.95,4
499,1.0,0.0,0.25,0.95,4
